Name,Goals,Assists,Blocks,Throwing Errors,Receiving Errors,Turnovers,+/-,Offense Points Played,Defense Points Played,Total Points Played
Silvano Puliafito,3,7,0,10,0,10,0,43,4,47
Ricardo Fungairiño,14,11,2,11,0,11,16,58,16,74
Quinn Bergenon,8,9,0,9,0,9,8,42,25,67
Luca Godenzini,2,4,2,4,0,4,4,39,8,47
Hagen Söding,1,2,1,8,0,8,-4,46,8,54
Martin Fähndrich,12,11,2,16,5,21,4,24,53,77
Moritz Rövekamp,14,6,1,3,2,5,16,18,52,70
Steffen Van,9,6,2,9,1,10,7,54,12,66
Mario Correia,1,6,2,10,0,10,-1,14,52,66
Victor Qin,1,2,2,1,2,3,2,22,26,48
Finn Beiglboeck,2,1,0,1,0,1,2,12,21,33
Yong Da Li,1,0,0,0,1,1,0,6,27,33
Valentin Imbach,5,4,6,4,2,6,9,14,32,46
Yannick Kummer,1,4,2,2,0,2,5,14,17,31
