Player,Points played total,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
Joel Mignan,27,6,21,5,13,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Fanda,45,23,22,17,13,27,16,26,21,6,1,2,1,4,1,3,2,0,0,324.89,185.82,13.54,7.74,327.95,153.29,15.62,7.30
Niccolo Massari,15,4,11,4,9,3,3,3,3,0,0,0,0,0,0,0,0,0,0,41.44,10.31,13.81,3.44,57.52,54.17,19.17,18.06
Christian Cataldo,20,4,16,3,10,4,4,2,4,0,0,0,2,3,0,3,1,0,0,22.81,-2.78,11.40,-1.39,108.17,83.48,27.04,20.87
Jason Christian,50,22,28,14,14,91,34,89,61,30,9,7,2,6,4,2,5,0,0,1'436.74,802.74,17.52,9.79,758.66,227.19,12.44,3.72
Hagen,44,20,24,15,10,45,18,42,36,9,2,1,3,5,4,1,4,0,0,495.08,183.41,13.38,4.96,566.72,283.32,15.74,7.87
Victor,45,15,30,8,15,22,15,18,19,3,0,4,4,2,0,2,0,0,0,257.47,59.06,14.30,3.28,279.39,185.16,14.70,9.75
Dave Althaus,42,17,25,11,15,25,15,20,25,0,2,1,5,7,2,5,3,0,0,229.60,46.78,12.76,2.60,464.65,347.81,18.59,13.91
Marco Zurkich,11,3,8,1,5,8,6,8,5,3,2,0,0,3,2,1,0,0,0,118.56,97.37,19.76,16.23,82.97,30.19,16.59,6.04
Quinn Bergeron,48,22,26,17,14,86,34,83,65,21,7,7,3,7,6,1,4,0,0,1'236.74,695.10,16.49,9.27,851.93,262.43,13.11,4.04
Simeon Schneider,42,19,23,14,16,38,20,34,35,3,2,3,4,6,3,3,0,0,0,400.51,132.38,12.92,4.27,593.81,375.37,16.97,10.72
Tim Bachmann,17,5,12,4,10,4,4,2,4,0,1,0,2,1,0,1,0,0,0,23.31,8.85,11.66,4.42,38.22,35.31,9.56,8.83
Osci (Oscar Weber),39,21,18,14,11,57,32,49,50,7,4,4,8,2,2,0,2,0,0,719.31,407.31,16.35,9.26,775.48,341.01,15.51,6.82
Kora Audretsch,45,24,21,17,10,77,36,75,59,18,7,6,2,9,7,2,4,0,0,956.19,330.04,14.27,4.93,838.12,329.90,14.21,5.59
Georg Schwan,48,18,30,13,16,48,30,42,46,2,6,7,6,3,2,1,5,0,0,504.02,263.52,13.62,7.12,775.64,528.95,16.86,11.50
Noah Kesseli,49,22,27,17,13,63,31,54,52,11,7,3,9,7,7,0,7,0,0,768.31,519.37,17.46,11.80,870.54,395.76,16.74,7.61
95 Pony,18,6,12,3,7,36,13,36,24,12,3,2,0,5,3,2,3,0,0,568.03,359.87,17.75,11.25,316.31,-2.78,13.18,-0.12
Moritz,35,11,24,6,9,48,21,44,43,5,7,2,4,5,4,1,3,0,0,512.38,253.56,13.14,6.50,645.86,401.13,15.02,9.33
Yannick (Yannick Kummer),9,2,7,2,6,3,3,2,3,0,0,1,1,0,0,0,0,0,0,28.86,-7.16,14.43,-3.58,48.24,33.55,16.08,11.18
Julian Stropp,43,16,27,11,15,30,22,25,30,0,1,1,5,4,3,1,1,0,0,229.93,52.41,10.95,2.50,487.83,336.92,16.26,11.23
