Category,Player,Points played total,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,A1,A2,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
O,11 Jack (Jack Skelley),75,53,22,33,11,80,45,72,77,3,9,6,8,6,4,2,4,0,0,876.71,398.04,13.09,5.94,1036.99,598.48,13.47,7.77
D,95 Max (Max Egendorfer),70,29,41,14,17,26,21,14,26,0,1,1,12,2,1,1,2,0,0,156.12,64.85,12.01,4.99,594.42,528.63,22.86,20.33
O,26 Finn (Finn Beiglboeck),40,23,17,10,4,35,15,32,32,3,0,3,3,3,1,2,0,0,0,395.67,138.19,12.76,4.46,443.04,143.24,13.85,4.48
O,28 Chrigu (Chrigu Egger),8,3,5,3,5,7,6,6,6,1,1,1,1,0,0,0,2,0,0,84.01,46.76,14.00,7.79,62.74,15.54,10.46,2.59
O,03 Mo (Moritz Rövekamp),41,37,4,27,4,67,34,57,65,2,9,5,10,6,3,3,1,0,0,667.97,390.88,12.37,7.24,906.27,527.84,13.94,8.12
D,34 Noah (Noah Kesseli),85,25,60,12,25,67,42,62,57,10,9,6,6,4,3,1,6,0,0,918.80,574.61,15.57,9.74,839.56,441.47,14.73,7.75
D,Daniel (Daniel Schenk),71,21,50,10,16,43,25,37,32,11,6,1,6,5,4,1,7,0,0,411.91,124.75,12.87,3.90,478.81,286.81,14.96,8.96
O,54 Trissy (Trissy Nguyen),40,23,17,12,8,9,8,7,9,0,0,0,2,3,1,2,0,0,0,75.23,16.32,12.54,2.72,128.97,80.88,14.33,8.99
D,08 DJ (James Violette),80,24,56,14,21,80,39,79,62,18,5,4,1,8,7,1,2,0,0,913.27,488.38,13.63,7.29,691.84,251.91,11.16,4.06
D,05 Valentin (Valentin Imbach),62,22,40,11,19,42,27,35,38,4,2,3,7,2,1,1,8,0,0,381.63,137.25,11.22,4.04,633.80,434.22,16.68,11.43
D,08 Elio (Elio Bysäth),81,23,58,12,22,62,40,56,62,0,6,6,6,5,5,0,2,0,0,578.39,350.00,12.05,7.29,956.91,626.91,15.43,10.11
D,41 Simi (Simeon Schneider),71,18,53,10,19,49,26,45,47,2,4,1,4,4,3,1,4,0,0,493.47,202.99,11.75,4.83,647.99,249.02,13.79,5.30
O,01 Osci (Oscar Weber),84,57,27,34,14,174,71,170,139,35,11,7,4,17,14,3,2,0,0,2031.09,1020.74,13.36,6.72,1637.72,485.93,11.78,3.50
D,20 Marko (Marko Zurkich),38,18,20,9,9,36,18,28,33,3,1,1,8,3,3,0,1,0,0,271.05,79.90,10.84,3.20,596.19,401.03,18.07,12.15
D,39 Hagen (Hagen Söding),35,20,15,11,4,42,20,42,36,6,1,1,0,4,3,1,2,0,0,499.42,105.93,12.81,2.72,446.83,108.24,12.41,3.01
O,50 Philip (Philip Arm),82,59,23,37,12,192,60,184,166,26,5,2,8,11,9,2,1,0,0,1996.13,665.98,11.47,3.83,1837.58,592.99,11.07,3.57
O,66 Luca (Luca Godenzini),84,60,24,34,13,213,70,213,174,39,8,9,0,9,9,0,3,0,0,2394.91,804.80,11.74,3.95,1752.67,325.98,10.07,1.87
O,27 Fanda (Frantisek Kmjec),89,65,24,40,9,124,58,119,114,10,4,10,5,13,9,4,2,0,0,1404.97,628.87,12.89,5.77,1316.95,384.61,11.55,3.37
D,65 Georg (Georg Schwan),71,20,51,11,21,45,27,38,40,5,3,4,7,6,3,3,6,0,0,442.14,190.74,12.63,5.45,669.47,456.47,16.74,11.41
O,12 Lolo (Lorenz Grämiger),75,52,23,31,10,109,50,105,92,17,2,8,4,11,10,1,4,0,0,1240.91,477.11,13.49,5.19,1143.16,357.84,12.43,3.89
O,82 Steffen (Steffen Van),78,56,22,32,9,122,56,118,112,10,6,4,4,9,7,2,1,0,0,1161.50,364.80,10.46,3.29,1199.51,509.90,10.71,4.55
D,Pony (Benjamin Willi),76,22,54,12,21,118,44,116,89,29,7,5,2,10,8,2,3,0,0,1233.87,514.90,11.53,4.81,868.27,210.88,9.76,2.37
D,33 Mario (Mario Correia),77,23,54,12,22,73,35,72,58,15,8,5,1,11,11,0,2,0,0,896.77,512.21,15.20,8.68,580.51,188.63,10.01,3.25
D,Tim,41,24,17,10,7,6,5,6,6,0,0,1,0,3,1,2,1,0,0,60.41,23.73,12.08,4.75,90.24,36.27,15.04,6.05
